FID,id,date_ech,code_qual,lib_qual,coul_qual,date_dif,source,type_zone,code_zone,lib_zone,code_no2,code_so2,code_o3,code_pm10,code_pm25,x_wgs84,y_wgs84,x_reg,y_reg,epsg_reg,geom
ind_bfc.176746,176746,2021-02-05T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176747,176747,2021-02-06T00:00:00Z,3,Dégradé,#f0e641,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,1,2,3,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176748,176748,2021-02-07T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176749,176749,2021-02-08T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,1,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176750,176750,2021-02-09T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176751,176751,2021-02-10T00:00:00Z,4,Mauvais,#ff5050,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,2,4,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176752,176752,2021-02-11T00:00:00Z,2,Moyen,#50ccaa,2021-02-15T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,2,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176753,176753,2021-02-12T00:00:00Z,2,Moyen,#50ccaa,2021-03-03T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,2,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176754,176754,2021-02-13T00:00:00Z,2,Moyen,#50ccaa,2021-03-03T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,1,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
ind_bfc.176755,176755,2021-02-14T00:00:00Z,2,Moyen,#50ccaa,2021-03-03T00:00:00Z,ATMO Bourgogne-Franche-Comté,commune,25190,Dampierre-les-Bois,1,1,2,2,2,6.91197,47.50691,994347,6719131,2154,POINT (994347.0998042489 6719131.000230311)
